window_size,step_size,run,skill,type,Novice_True_Positive,Interm_insteadOf_Novice,Expert_insteadOf_Novice,Novice_insteadOf_Interm,Interm_True_Positive,Expert_insteadOf_Interm,Novice_insteadOf_Expert,Interm_insteadOf_Expert,Expert_True_Positive
180,30,3,Suture,Model,359,0,0,172,6,0,159,0,0
180,30,3,Suture,Model,518,0,0,170,0,0,150,0,0
180,30,3,Suture,Model,434,0,0,152,0,0,174,0,0
180,30,3,Suture,Model,389,0,0,142,0,0,131,0,0
180,30,3,Suture,SVM,769,0,0,188,0,0,198,0,0
180,30,3,Suture,SVM,359,0,0,172,6,0,159,0,0
180,30,3,Suture,SVM,518,0,0,170,0,0,150,0,0
180,30,3,Suture,SVM,345,89,0,152,0,0,174,0,0
180,30,3,Suture,SVM,379,10,0,142,0,0,131,0,0
180,30,4,Knot,Model,185,6,0,42,14,0,66,17,0
180,30,4,Knot,Model,186,0,0,57,0,0,71,0,0
180,30,4,Knot,Model,223,0,0,112,0,0,77,0,0
180,30,4,Knot,Model,225,17,0,56,39,0,56,12,0
180,30,4,Knot,Model,149,17,27,26,25,21,19,19,33
180,30,4,Knot,SVM,156,16,19,19,0,37,33,33,17
180,30,4,Knot,SVM,186,0,0,57,0,0,71,0,0
180,30,4,Knot,SVM,223,0,0,112,0,0,77,0,0
180,30,4,Knot,SVM,221,21,0,56,39,0,56,12,0
180,30,4,Knot,SVM,144,49,0,27,45,0,20,51,0
180,30,4,Needle,Model,0,0,77,2,0,188,0,0,238
180,30,4,Needle,Model,283,0,0,110,0,0,103,0,0
180,30,4,Needle,Model,231,0,0,178,0,0,203,0,0
180,30,4,Needle,Model,271,0,0,118,0,0,155,0,21
180,30,4,Needle,Model,181,0,0,71,0,0,158,0,0
180,30,4,Needle,SVM,36,4,37,8,11,171,12,0,226
180,30,4,Needle,SVM,0,37,246,0,0,110,0,0,103
180,30,4,Needle,SVM,0,5,226,8,4,166,0,0,203
180,30,4,Needle,SVM,271,0,0,118,0,0,176,0,0
180,30,4,Needle,SVM,181,0,0,71,0,0,158,0,0
180,30,4,Suture,Model,769,0,0,188,0,0,198,0,0
180,30,4,Suture,Model,359,0,0,178,0,0,159,0,0
180,30,4,Suture,Model,518,0,0,170,0,0,150,0,0
180,30,4,Suture,Model,434,0,0,152,0,0,174,0,0
180,30,4,Suture,Model,389,0,0,142,0,0,131,0,0
180,30,4,Suture,SVM,765,0,4,113,0,75,160,0,38
180,30,4,Suture,SVM,359,0,0,178,0,0,159,0,0
180,30,4,Suture,SVM,445,0,73,170,0,0,150,0,0
180,30,4,Suture,SVM,350,84,0,152,0,0,174,0,0
180,30,4,Suture,SVM,375,0,14,136,0,6,131,0,0
180,30,5,Knot,Model,184,1,6,40,10,6,29,29,25
180,30,5,Knot,Model,157,28,1,14,43,0,42,29,0
180,30,5,Knot,Model,223,0,0,60,0,52,45,0,32
180,30,5,Knot,Model,242,0,0,64,0,31,68,0,0
180,30,5,Knot,Model,161,32,0,34,38,0,22,49,0
180,30,5,Knot,SVM,184,1,6,40,10,6,29,29,25
180,30,5,Knot,SVM,157,6,23,23,0,34,40,0,31
180,30,5,Knot,SVM,223,0,0,79,0,33,56,0,21
180,30,5,Knot,SVM,242,0,0,64,0,31,68,0,0
180,30,5,Knot,SVM,161,32,0,35,37,0,22,49,0
180,30,5,Needle,Model,77,0,0,190,0,0,222,0,16
180,30,5,Needle,Model,283,0,0,110,0,0,103,0,0
180,30,5,Needle,Model,231,0,0,178,0,0,203,0,0
180,30,5,Needle,Model,271,0,0,118,0,0,158,0,18
180,30,5,Needle,Model,181,0,0,71,0,0,158,0,0
180,30,5,Needle,SVM,77,0,0,190,0,0,222,0,16
180,30,5,Needle,SVM,0,0,283,0,0,110,0,0,103
180,30,5,Needle,SVM,231,0,0,176,0,2,203,0,0
180,30,5,Needle,SVM,271,0,0,118,0,0,176,0,0
180,30,5,Needle,SVM,181,0,0,71,0,0,158,0,0
180,30,5,Suture,Model,769,0,0,188,0,0,198,0,0
180,30,5,Suture,Model,359,0,0,178,0,0,159,0,0
180,30,5,Suture,Model,518,0,0,170,0,0,150,0,0
180,30,5,Suture,Model,434,0,0,152,0,0,174,0,0
180,30,5,Suture,Model,389,0,0,142,0,0,131,0,0
180,30,5,Suture,SVM,769,0,0,188,0,0,198,0,0
180,30,5,Suture,SVM,359,0,0,178,0,0,159,0,0
180,30,5,Suture,SVM,450,68,0,170,0,0,150,0,0
180,30,5,Suture,SVM,434,0,0,152,0,0,174,0,0
180,30,5,Suture,SVM,389,0,0,142,0,0,131,0,0
