window_size,step_size,run,skill,type,Novice_True_Positive,Interm_insteadOf_Novice,Expert_insteadOf_Novice,Novice_insteadOf_Interm,Interm_True_Positive,Expert_insteadOf_Interm,Novice_insteadOf_Expert,Interm_insteadOf_Expert,Expert_True_Positive
150,60,4,Knot,Model,47,6,46,2,19,17,0,1,36
150,60,4,Knot,SVM,76,0,22,5,5,19,0,2,41
150,60,4,Knot,SVM,19,49,27,3,24,3,13,4,20
150,60,4,Knot,SVM,103,1,10,14,40,4,12,2,26
150,60,4,Knot,SVM,74,44,5,28,21,0,12,0,23
150,60,4,Knot,SVM,67,0,32,21,0,17,11,8,18
150,60,4,Needle,Model,2,36,1,47,28,22,0,0,121
150,60,4,Needle,Model,144,0,0,56,0,0,52,0,0
150,60,4,Needle,Model,73,0,44,45,0,46,32,0,71
150,60,4,Needle,Model,47,3,88,8,25,28,9,0,81
150,60,4,Needle,Model,78,2,12,2,0,34,42,0,38
150,60,4,Needle,SVM,0,39,0,29,68,0,4,24,93
150,60,4,Needle,SVM,0,107,37,0,0,56,0,0,52
150,60,4,Needle,SVM,37,41,39,35,1,55,56,33,14
150,60,4,Needle,SVM,47,43,48,15,36,10,32,14,44
150,60,4,Needle,SVM,92,0,0,35,1,0,77,1,2
150,60,4,Suture,Model,301,25,62,2,29,65,26,0,75
150,60,4,Suture,Model,159,0,23,16,0,75,32,0,49
150,60,4,Suture,Model,224,0,38,87,0,0,48,27,1
150,60,4,Suture,Model,213,7,0,73,3,2,58,14,17
150,60,4,Suture,Model,144,54,0,9,64,0,43,20,4
150,60,4,Suture,SVM,274,32,82,58,35,3,53,37,11
150,60,4,Suture,SVM,109,46,27,15,0,76,43,2,36
150,60,4,Suture,SVM,131,68,63,73,0,14,23,33,20
150,60,4,Suture,SVM,62,32,126,46,28,4,30,25,34
150,60,4,Suture,SVM,70,68,60,0,73,0,16,30,21
150,60,5,Knot,Model,92,0,6,13,7,9,11,2,30
150,60,5,Knot,Model,83,12,0,15,15,0,36,1,0
150,60,5,Knot,Model,112,0,2,14,36,8,30,0,10
150,60,5,Knot,Model,123,0,0,29,20,0,9,7,19
150,60,5,Knot,Model,82,0,17,26,8,4,19,0,18
150,60,5,Knot,SVM,73,4,21,4,4,21,5,1,37
150,60,5,Knot,SVM,27,17,51,9,15,6,16,0,21
150,60,5,Knot,SVM,71,9,34,16,33,9,8,4,28
150,60,5,Knot,SVM,118,5,0,28,19,2,9,2,24
150,60,5,Knot,SVM,66,0,33,20,15,3,8,3,26
150,60,5,Needle,Model,11,0,28,53,0,44,0,0,121
150,60,5,Needle,Model,110,0,34,1,0,55,2,0,50
150,60,5,Needle,Model,73,0,44,36,0,55,7,0,96
150,60,5,Needle,Model,11,64,63,0,51,10,0,0,90
150,60,5,Needle,Model,86,6,0,8,28,0,70,0,10
150,60,5,Needle,SVM,13,21,5,53,10,34,4,6,111
150,60,5,Needle,SVM,18,78,48,0,0,56,52,0,0
150,60,5,Needle,SVM,4,69,44,35,4,52,8,3,92
150,60,5,Needle,SVM,52,47,39,0,46,15,60,3,27
150,60,5,Needle,SVM,57,35,0,9,27,0,42,36,2
150,60,5,Suture,Model,354,27,7,37,28,31,21,30,50
150,60,5,Suture,Model,177,0,5,3,0,88,28,0,53
150,60,5,Suture,Model,195,67,0,60,27,0,15,60,1
150,60,5,Suture,Model,131,65,24,47,10,21,30,0,59
150,60,5,Suture,Model,194,1,3,73,0,0,53,0,14
150,60,5,Suture,SVM,367,20,1,51,22,23,33,27,41
150,60,5,Suture,SVM,126,56,0,0,25,66,28,3,50
150,60,5,Suture,SVM,203,6,53,64,0,23,41,18,17
150,60,5,Suture,SVM,56,88,76,36,40,2,71,11,7
150,60,5,Suture,SVM,45,60,93,21,50,2,22,11,34
