window_size,step_size,run,skill,type,Novice_True_Positive,Interm_insteadOf_Novice,Expert_insteadOf_Novice,Novice_insteadOf_Interm,Interm_True_Positive,Expert_insteadOf_Interm,Novice_insteadOf_Expert,Interm_insteadOf_Expert,Expert_True_Positive
150,60,3,Suture,SVM,90,66,64,0,54,24,88,1,0
150,60,3,Suture,SVM,85,38,75,1,57,15,2,30,35
150,60,4,Knot,Model,98,0,0,22,7,0,23,4,16
150,60,4,Knot,Model,35,0,60,2,10,18,6,0,31
150,60,4,Knot,Model,106,8,0,17,41,0,35,5,0
150,60,4,Knot,Model,115,0,8,28,0,21,10,0,25
150,60,4,Knot,Model,99,0,0,24,14,0,37,0,0
150,60,4,Knot,SVM,66,0,32,4,9,16,4,3,36
150,60,4,Knot,SVM,32,3,60,14,16,0,11,10,16
150,60,4,Knot,SVM,74,0,40,10,18,30,21,0,19
150,60,4,Knot,SVM,113,10,0,28,12,9,18,2,15
150,60,4,Knot,SVM,63,3,33,15,0,23,23,1,13
150,60,4,Needle,Model,0,0,39,0,29,68,0,0,121
150,60,4,Needle,Model,144,0,0,56,0,0,52,0,0
150,60,4,Needle,Model,73,10,34,58,0,33,41,0,62
150,60,4,Needle,Model,65,16,57,26,32,3,12,50,28
150,60,4,Needle,Model,52,11,29,0,5,31,0,0,80
150,60,4,Needle,SVM,14,21,4,30,61,6,61,11,49
150,60,4,Needle,SVM,67,73,4,0,0,56,52,0,0
150,60,4,Needle,SVM,9,73,35,47,1,43,41,11,51
150,60,4,Needle,SVM,64,16,58,20,36,5,55,11,24
150,60,4,Needle,SVM,85,7,0,36,0,0,76,0,4
150,60,4,Suture,Model,379,0,9,65,24,7,70,0,31
150,60,4,Suture,Model,181,1,0,89,0,2,81,0,0
150,60,4,Suture,Model,262,0,0,87,0,0,56,20,0
150,60,4,Suture,Model,137,72,11,22,26,30,85,4,0
150,60,4,Suture,Model,154,1,43,24,49,0,41,8,18
150,60,4,Suture,SVM,356,25,7,54,33,9,40,39,22
150,60,4,Suture,SVM,73,107,2,27,0,64,47,3,31
150,60,4,Suture,SVM,114,63,85,45,0,42,40,32,4
150,60,4,Suture,SVM,42,74,104,1,33,44,66,6,17
150,60,4,Suture,SVM,85,0,113,19,50,4,9,31,27
150,60,5,Knot,Model,98,0,0,26,3,0,28,2,13
150,60,5,Knot,Model,56,9,30,3,19,8,23,9,5
150,60,5,Knot,Model,106,8,0,15,37,6,34,6,0
150,60,5,Knot,Model,123,0,0,34,0,15,15,0,20
150,60,5,Knot,Model,90,4,5,37,1,0,23,14,0
150,60,5,Knot,SVM,64,1,33,12,5,12,4,4,35
150,60,5,Knot,SVM,55,2,38,1,20,9,16,1,20
150,60,5,Knot,SVM,87,2,25,16,0,42,21,3,16
150,60,5,Knot,SVM,101,22,0,22,16,11,9,3,23
150,60,5,Knot,SVM,52,5,42,13,0,25,8,0,29
150,60,5,Needle,Model,0,0,39,0,10,87,0,0,121
150,60,5,Needle,Model,137,0,7,0,0,56,47,0,5
150,60,5,Needle,Model,83,0,34,91,0,0,75,0,28
150,60,5,Needle,Model,138,0,0,61,0,0,90,0,0
150,60,5,Needle,Model,92,0,0,24,0,12,53,0,27
150,60,5,Needle,SVM,17,16,6,52,6,39,67,6,48
150,60,5,Needle,SVM,26,105,13,0,0,56,52,0,0
150,60,5,Needle,SVM,8,71,38,14,27,50,32,25,46
150,60,5,Needle,SVM,76,1,61,27,32,2,60,0,30
150,60,5,Needle,SVM,91,1,0,36,0,0,78,0,2
150,60,5,Suture,Model,373,1,14,61,30,5,61,11,29
150,60,5,Suture,Model,126,56,0,19,72,0,29,52,0
150,60,5,Suture,Model,262,0,0,87,0,0,71,5,0
150,60,5,Suture,Model,220,0,0,78,0,0,89,0,0
150,60,5,Suture,Model,39,35,124,4,46,23,0,0,67
150,60,5,Suture,SVM,278,20,90,52,36,8,35,7,59
150,60,5,Suture,SVM,115,51,16,37,40,14,28,20,33
150,60,5,Suture,SVM,153,46,63,80,0,7,6,63,7
150,60,5,Suture,SVM,159,1,60,36,26,16,57,31,1
150,60,5,Suture,SVM,63,47,88,18,55,0,3,34,30
